representation,split,split_type,model,mae,brier,spearman_rho,kl
grambank_s42_B_masked30,family_Afro-Asiatic,family,majority_per_config,0.3009372874712773,0.12082067014533728,0.5180727004034962,0.3610646405756865
grambank_s42_B_masked30,family_Afro-Asiatic,family,family_mean,0.3009372874712773,0.12082067014533728,0.5180727004034962,0.3610646405756865
grambank_s42_B_masked30,family_Afro-Asiatic,family,mlp,0.28069915818974195,0.1032202640153032,0.6552903826814138,0.3044991989190644
grambank_s42_B_masked30,family_Indo-European,family,zero_order_0.5,0.3873809995952695,0.16815931160270361,,0.4283678969795859
grambank_s42_B_masked30,family_Indo-European,family,majority_per_config,0.2972322307517089,0.12448826468195319,0.30676281525356425,0.34136183162417266
grambank_s42_B_masked30,family_Indo-European,family,family_mean,0.2972322307517089,0.12448826468195319,0.30676281525356425,0.34136183162417266
grambank_s42_B_masked30,family_Indo-European,family,mlp,0.37459738510397944,0.1600303983910831,0.11960998205856127,0.4120502685925816
grambank_s42_B_masked30,family_Uralic,family,zero_order_0.5,0.3498685503244127,0.14509476801241838,,0.3607520632527484
grambank_s42_B_masked30,family_Uralic,family,majority_per_config,0.2675065062286921,0.12212614797166248,0.29852562217962025,0.31042102437880587
grambank_s42_B_masked30,family_Uralic,family,family_mean,0.2675065062286921,0.12212614797166248,0.29852562217962025,0.31042102437880587
grambank_s42_B_masked30,family_Uralic,family,mlp,0.31018490502902124,0.14138556089657445,0.22329918900728618,0.35718667679330574
grambank_s42_B_masked30,family_Dravidian,family,zero_order_0.5,0.4801244830950946,0.23490214403226817,,0.6372856619416627
grambank_s42_B_masked30,family_Dravidian,family,majority_per_config,0.5342267399900503,0.34346822194271726,-0.080725831124724,0.8998269710747252
grambank_s42_B_masked30,family_Dravidian,family,family_mean,0.5342267399900503,0.34346822194271726,-0.080725831124724,0.8998269710747252
grambank_s42_B_masked30,family_Dravidian,family,mlp,0.5509641768649072,0.367674130714331,-0.1338900568174426,1.0029650890744457
grambank_s42_B_masked30,value_No_dom_order,value,zero_order_0.5,,,,
grambank_s42_B_masked30,value_No_dom_order,value,majority_per_config,,,,
grambank_s42_B_masked30,value_No_dom_order,value,family_mean,,,,
grambank_s42_B_masked30,value_No_dom_order,value,mlp,,,,
grambank_s42_B_masked30,value_No_dom_order_VOS_OVS,value,zero_order_0.5,,,,
grambank_s42_B_masked30,value_No_dom_order_VOS_OVS,value,majority_per_config,,,,
grambank_s42_B_masked30,value_No_dom_order_VOS_OVS,value,family_mean,,,,
grambank_s42_B_masked30,value_No_dom_order_VOS_OVS,value,mlp,,,,
grambank_s42_B_masked50,A_random,A,zero_order_0.5,0.3881195317158137,0.16845700171892558,,0.4313020846576995
grambank_s42_B_masked50,A_random,A,majority_per_config,0.25993669175115125,0.10607793793218226,0.41696565444513173,0.2995248403366718
grambank_s42_B_masked50,A_random,A,family_mean,0.19312965103555282,0.08969250969799492,0.6296859882749494,0.27771730973884357
grambank_s42_B_masked50,A_random,A,mlp,0.3809317331213786,0.163392324138366,0.026907433472007462,0.4211511733971259
grambank_s42_B_masked50,family_Afro-Asiatic,family,zero_order_0.5,0.40589239584416476,0.18128385487273885,,0.47373865591463343
grambank_s42_B_masked50,family_Afro-Asiatic,family,majority_per_config,0.3009372874712773,0.12082067014533728,0.5180727004034962,0.3610646405756865
grambank_s42_B_masked50,family_Afro-Asiatic,family,family_mean,0.3009372874712773,0.12082067014533728,0.5180727004034962,0.3610646405756865
grambank_s42_B_masked50,family_Afro-Asiatic,family,mlp,0.26751284790860635,0.09745714139817166,0.8144463676804977,0.2890543254349897
